,id,date,dateYear,dateMonth,dateDay,rating,userName,content
0,1,20220314,2022,03,14,3,옆집오빠,"자꾸 핸드폰 인증하라고 반복되는데 그때마다 매번 인증해야해서 번거롭기도하고 너무 짜증납니다. 앱을 새로 깔라는 안내를 받고 새로 깔아도 마찬가지이고, 왜 갑자기 이런 현상이 계속되는지 기술팀에서 조속히 해결해주시기 바랍니다. 핸드폰은 몇년 계속 사용하고 있는데 기기변경하라는게 납득이 안되네요."
1,2,20190216,2019,02,16,5,Google 사용자,"전체적으로 편리하고 좋네요. 이용할 줄만 안다면 대체로 스스로 웬만한 건 처리할 수 있도록 해놓고, 무엇보다 스마트출금을 한정적이지만 편의점 자동화기기에서 수수료 면제로 이용할 수 있다는 점도 정말 좋구요. 다만 발급 관련해서 정말 급한 건을 기다려야 한다는 것이 치명적이라면 치명적으로 느껴질 때가 있군요"
2,3,20220708,2022,07,08,2,Jooyeon Jeong,이번에 본인인증 주기적으로 하래서 했는데 신분증 촬영시 카메라 셔터음 소리가 소음수준으로 큽니다. 기존에 아무것도 손대지 않아도 셔터음이 이렇게 큰적이 없는데 카카오에서는 임의로 소리를 키우는 셋팅을 한 건지? 휴대폰에 반동이 느껴질정도로 셔터음 소음 수준이 어마어마함. 바로 시정하길 바랍니다 너무 당황스럽고 불쾌하네요.
3,4,20190826,2019,08,26,5,Google 사용자,"편리하게 잘 사용하고 있어요! 만족스럽습니다 그래도 개선했으면 좋을것같은 것들을 적어봅니다. 우선, 첫화면에서 통장의 순서를 직접 정할수 있었으면 좋겠어요. 모임통장 같은건 밑으로 내리고 제가 모으고 있는 통장이나 적금들을 위에서 보고싶거든요. 그리고 자산 액수 숨기는 기능도 있었으면 좋겠어요. 되도록이면 첫 화면에서 간단하게 버튼 하나로 숨겨지고 보여지고 했으면 좋겠네요. 감사합니다."
4,5,20190113,2019,01,13,5,Google 사용자,"사용도 편리하고, 캐시백도 유용해요. 특히 타은행보다 예,적금이자가 높아서 진짜 좋아요! 기준금리 오르자마자 바로 딱! 적용된 은행은 카뱅이었어요. 오프라인은행이 없어 처음엔 의심도 되고 우려도 있었는데, 이젠 주변에 안쓰고 계신분들에게 추천해서 많이 개설하셨어요. 수수료 없는 것도 엄청 큰 매리트여서 무료수수료는 계속 이어졌으면 좋겠네요 앞으로도 좋은 혜택 계속 이어지면 좋겠어요."
5,6,20201106,2020,11,06,4,윤,"세이프박스 금액 조절하는거 다이얼로 바꿔주시면 더 편할 것 같아요. 스크롤로 미세조정하기 조금 불편해서요. 시간 맞추는 것처럼 다이얼로 바꾸면 훨씬 편리할 것 같아요. 그리고 세이프박스 출금할 때 잔액말고 출금액으로 설정할 수 있으면 좋겠어요. 보통 얼만큼이 필요해서 빼는걸텐데, 얼마 뺄지 잔액을 보고 한 번 더 생각해야해서 불편해요."
6,7,20190425,2019,04,25,1,Google 사용자,앱 완성도 및 사용성이 너무 떨어짐. 루팅os체크에서 루팅하지 않은 기기도 루팅 os로 체크하는 경우가 꽤 있음. 흔히 못만들었다고 소문난 일반 은행 어플보다도 완성도가 떨어짐. 어플을 제대로 못만들면 임시방편으로 웹이나 pc에서 쓰게 해줘야 하는데 그런 사소한 노력조차 기울이지 않음. 어느 하청에 맡겼는지 모르겠지만 최대한 빨리 업체를 변경하는게 좋아보임.
7,8,20190210,2019,02,10,3,Google 사용자,"금번 1.13 업데이트 이후 로그인시 패턴을 두번씩 입력해야하는 오류가 발생합니다. 그전에는 없던 오류인데 수정 필요합니다 참고로 백업해 두었던 이전 버전(1.11)으로 롤백,설치하면 해당 오류 발생하지 않습니다 덧붙여 불규칙적으로 로그인시 패턴을 그릴수 없는, 즉 인식하지 못하는 현상도 발생합니다(아래 리뷰 보면 동일증상 호소하는 유저 있음) 사용환경은 안드로이드6.01 입니다"
8,9,20200108,2020,01,08,1,Google 사용자,"이체하려고 했는데, 업데이트 하라고 해서 하려니 계속 업데이트가 안된다고 하더라구요. 설정-어플리케이션 들어가서 캐시 삭제도 해보고, 핸드폰 전원을 종료했다가 다시 켜서도 해봤는데 안됩니다. 그래서 앱을 삭제하고 다시 설치해보려는데 다시 설치도 안돼서 카카오뱅크 앱 사용 자체가 불가능합니다.. 잔액이 얼마 남았는지 알 수가 없어서 이용하는데 큰 어려움을 겪고 있습니다. 캐시 삭제 말고 다른 해결방법을 제시해주시길 부탁드립니다."
9,10,20200427,2020,04,27,1,Google 사용자,여권으로는 본인인증이 안된다는게 이해되지 않네요 지인이 카뱅 가입을 위해 신분증을 촬영했으나 흐린 사진으로 인하여 처리가 안된다하여 다른 금융기관처럼 여권으로 대체를 요청했으나 거절당하고 예금도 모두 인출처리하라고 계좌 정지시킨다는 연락을 받았습니다. 코로나 때문에 외출이 힘든 요즘 사진도 다시 찍고 신분증 재발급을 받은 이후에 재가입하라는 콜센터 안내에 기가 막히네요. 빠른 보완과 대책을 요구합니다
10,11,20181228,2018,12,28,4,Google 사용자,초기때부터 아주 편리하게 잘 사용하고 있습니다. 개인적으로 제일 아쉬운 부분은 자주쓰는 계좌 등록이네요. 저축은행 등은 계좌번호만 보고는 헷갈리는 경우가 많아 자주쓰는 계좌를 구체적으로 관리할수 있었으면 좋겠습니다. 그리고 다른 가계부와 연동이 안돼서 불편한 정도. 차라리 가계부 어플을 하나 만들어주세요. 두가지만 보완되면 개인적으로 거의 완벽한 은행 앱입니다.
11,12,20211206,2021,12,06,2,ᄆᄎ,잘 사용해왔는데 최근 오류가 몇가지 생겼네요. 이체할때 계좌번호 입력창을 누르면 갑자기 카카오톡 패턴입력창이 뜹니다. 지문인식하거나 패턴입력하면 사라지긴 하는데 그때마다 조금 번거롭습니다. 또 와이파이는 멀쩡하고 제 집인데도 이체하기를 누르면 정보통신망에 문제가 있다는 알림창이 화면에 뜨면서 이체가 되지 않는군요. 두가지 오류 확인해주시기 바랍니다.
12,13,20190803,2019,08,03,5,Google 사용자,"처음 로그인하면 메인화면이 보이는데, 여기에 세이프박스가 같이 바로 보이니 의식하고 싶지 않아도 바로 꺼내서 써야겠다는 생각이 들게 되는 경우가 꽤 있었습니다. 메인화면에 보이는 항목들을 순서를 개인이 원하는대로 지정할 수 있거나, 메인화면에서 세이프박스를 보지 못하게 하고 따로 사이드메뉴를 통해서 들어갈 수 있도록 하는 '옵션'을 만들어주신다면 유용하게 쓸 수 있을 것 같습니다 ㅜ0ㅜ"
13,14,20190227,2019,02,27,5,Google 사용자,"카뱅 수수료도 없고 너무 편해서 좋아요! 세이프박스에 금액을 넣을 때, 기존 금액을 수정하는 것도 좋지만 기존 금액에서 +30,000원 혹은 -50,000원 이런식으로 플러스 마이너스를 누르고 원하는 입출금 금액을 입력해서 자동으로 계산되어 처리되는 방식이 된다면 정말 편리할 것 같아요!"
14,15,20210930,2021,09,30,1,끌바장인_김원기,아 좀 내부 메뉴 인터페이스 변경좀 적당히 하십쇼!!!! 어르신들은 적응할라치면 또 바꾸고 바꾸고..그러다가 인증 풀려서 재로그인 재등록 할때마다 전전긍긍하시는거 하나하나 다 도와드려야하고.. 제가봐도 바뀐화면 순간 적응 못해서 얼타는데 연세드신분들은 얼마나 힘들겠어요?!
15,16,20200530,2020,05,30,5,이용희,"안녕하세요. 저는 카카오뱅크 사용자 입니다. 카카오뱅크 정말 편리하고, 대단합니다. 임금할때 다른 곳에 돈을 넣어는데도 수수료는 안 받고, 교통카드로 사용하니까 편하고, 그리고 송금할때는 진짜 쉽고, 편해서 좋습니다. 앞으로 좋고, 편하게 만들기 바랍니다.(새로 업데이트 된 계좌바꾸기, 금액 안보이게 하는 기능을 써보니까 좋습니다.)"
16,17,20181118,2018,11,18,1,Google 사용자,카카오뱅크 체크카드 이용하면서 어플리케이션 때문에 불편합니다. 어플을 켜면 실행이 안되고 꺼집니다. 핸드폰 잘못인가 다시 어플 지우고 깔아봐도 어느샌가 다시 실행이 안됩니다. 제 주변에서도 카뱅체크카드 이용하는 친구들이 있는데 몇명 같은 현상이 일어나 그냥 거래 안한다고 어플 삭제했답니다. 안정화 좀 해주시겠어요? 이러다 저도 거래 안하겠어요ㅎㅎ
17,18,20190707,2019,07,07,1,Google 사용자,"기기변경 이후 개인인증을 번복하게해서 사용자체를 하기싫게 하네요 영상인증까지해놓고 자동으로 안내화면이 넘어가야지 왜이런부분이 연결이 안되고 일치되지않는거죠? 주변사람들 많이ㅆ는것같아 페이랑 같이 다시써볼까했는데 ux디자인하는사람으로써 너무 불편하고 인증과정이 불쾌합니다, 기술의 한계인가요?디자이너의 부재인가요?"
