,dateYear,dateMonth,dateDay,rating,content,Processed
0,2022,3,14,3,"자꾸 핸드폰 인증하라고 반복되는데 그때마다 매번 인증해야해서 번거롭기도하고 너무 짜증납니다. 앱을 새로 깔라는 안내를 받고 새로 깔아도 마찬가지이고, 왜 갑자기 이런 현상이 계속되는지 기술팀에서 조속히 해결해주시기 바랍니다. 핸드폰은 몇년 계속 사용하고 있는데 기기변경하라는게 납득이 안되네요.","['자꾸', '핸드폰', '인증', '하', '라고', '반복', '되다', '그때', '마다', '매번', '인증', '하다', '하다', '번거롭다', '기도', '하고', '너무', '짜증나다', '앱', '을', '새롭다', '깔다', '안내', '를', '받다', '새롭다', '깔다', '마찬가지', '이고', '왜', '갑자기', '이렇다', '현상', '이', '계속', '되다', '기술', '팀', '에서', '조속', '히', '해결', '해주다', '바라다', '핸드폰', '은', '몇', '년', '계속', '사용', '하고', '있다', '기', '기', '변경', '하', '라는', '게', '납득', '이', '안되다']"
1,2019,2,16,5,"전체적으로 편리하고 좋네요. 이용할 줄만 안다면 대체로 스스로 웬만한 건 처리할 수 있도록 해놓고, 무엇보다 스마트출금을 한정적이지만 편의점 자동화기기에서 수수료 면제로 이용할 수 있다는 점도 정말 좋구요. 다만 발급 관련해서 정말 급한 건을 기다려야 한다는 것이 치명적이라면 치명적으로 느껴질 때가 있군요","['전체', '적', '으로', '편리하다', '좋다', '이용', '하다', '줄', '만', '안다', '대체로', '스스로', '웬만하다', '건', '처리', '하다', '수', '있다', '하다', '무엇', '보다', '스마트', '출금', '을', '한정', '적', '이지만', '편의점', '자동화', '기기', '에서', '수수료', '면제', '로', '이용', '하다', '수', '있다', '점도', '정말', '좋다', '다만', '발급', '관련', '하다', '정말', '급하다', '건', '을', '기다리다', '한다는', '것', '이', '치명', '적', '이', '라면', '치명', '적', '으로', '느껴지다', '때', '가', '있다']"
2,2022,7,8,2,이번에 본인인증 주기적으로 하래서 했는데 신분증 촬영시 카메라 셔터음 소리가 소음수준으로 큽니다. 기존에 아무것도 손대지 않아도 셔터음이 이렇게 큰적이 없는데 카카오에서는 임의로 소리를 키우는 셋팅을 한 건지? 휴대폰에 반동이 느껴질정도로 셔터음 소음 수준이 어마어마함. 바로 시정하길 바랍니다 너무 당황스럽고 불쾌하네요.,"['이번', '에', '본인', '인증', '주', '기적', '으로', '하래', '서', '하다', '신분증', '촬영', '시', '카메라', '셔터', '음', '소리', '가', '소음', '수준', '으로', '크다', '기존', '에', '아무', '것', '도', '손대다', '않다', '셔터', '음', '이', '이렇게', '크다', '적', '이', '없다', '카카오', '에서는', '임의', '로', '소리', '를', '키우다', '셋팅', '을', '하다', '건지다', '휴대폰', '에', '반동', '이', '느껴지다', '정도', '로', '셔터', '음', '소음', '수준', '이', '어마어마하다', '바로', '시정', '하다', '바라다', '너무', '당황', '스럽다', '불쾌하다']"
3,2019,8,26,5,"편리하게 잘 사용하고 있어요! 만족스럽습니다 그래도 개선했으면 좋을것같은 것들을 적어봅니다. 우선, 첫화면에서 통장의 순서를 직접 정할수 있었으면 좋겠어요. 모임통장 같은건 밑으로 내리고 제가 모으고 있는 통장이나 적금들을 위에서 보고싶거든요. 그리고 자산 액수 숨기는 기능도 있었으면 좋겠어요. 되도록이면 첫 화면에서 간단하게 버튼 하나로 숨겨지고 보여지고 했으면 좋겠네요. 감사합니다.","['편리하다', '자다', '사용', '하고', '있다', '만족스럽다', '그래도', '개선', '하다', '좋다', '같다', '것', '들', '을', '적다', '보다', '우선', '첫', '화면', '에서', '통장', '의', '순서', '를', '직접', '정', '하다', '있다', '좋다', '모임', '통장', '같다', '밑', '으로', '내리다', '제', '가', '모으다', '있다', '통장', '이나', '적금', '들', '을', '위', '에서', '보다', '그리고', '자산', '액수', '숨기다', '기능', '도', '있다', '좋다', '되다', '이면', '첫', '화면', '에서', '간단하다', '버튼', '하나로', '숨기다', '보이다', '하다', '좋다', '감사하다']"
4,2019,1,13,5,"사용도 편리하고, 캐시백도 유용해요. 특히 타은행보다 예,적금이자가 높아서 진짜 좋아요! 기준금리 오르자마자 바로 딱! 적용된 은행은 카뱅이었어요. 오프라인은행이 없어 처음엔 의심도 되고 우려도 있었는데, 이젠 주변에 안쓰고 계신분들에게 추천해서 많이 개설하셨어요. 수수료 없는 것도 엄청 큰 매리트여서 무료수수료는 계속 이어졌으면 좋겠네요 앞으로도 좋은 혜택 계속 이어지면 좋겠어요.","['사용', '도', '편리하다', '캐시', '백도', '유용하다', '특히', '타', '은행', '보다', '예', '적금', '이자', '가', '높다', '진짜', '좋다', '기준금리', '오르다', '바로', '딱', '적용', '되다', '은행', '은', '카뱅', '이다', '오프라인', '은행', '이', '없다', '처음', '엔', '의심', '도', '되다', '우려', '도', '있다', '이', '젠', '주변', '에', '안', '쓰다', '계', '신분', '들', '에게', '추천', '하다', '많이', '개설', '하다', '수수료', '없다', '것', '도', '엄청', '크다', '매', '리트', '여서', '무료', '수수료', '는', '계속', '이어지다', '좋다', '앞', '으로도', '좋다', '혜택', '계속', '이어지다', '좋다']"
5,2020,11,6,4,"세이프박스 금액 조절하는거 다이얼로 바꿔주시면 더 편할 것 같아요. 스크롤로 미세조정하기 조금 불편해서요. 시간 맞추는 것처럼 다이얼로 바꾸면 훨씬 편리할 것 같아요. 그리고 세이프박스 출금할 때 잔액말고 출금액으로 설정할 수 있으면 좋겠어요. 보통 얼만큼이 필요해서 빼는걸텐데, 얼마 뺄지 잔액을 보고 한 번 더 생각해야해서 불편해요.","['세이프', '박스', '금액', '조절', '하다', '다이얼', '로', '바꾸다', '더', '편하다', '것', '같다', '스크롤', '로', '미세', '조정', '하다', '조금', '불편하다', '시간', '맞추다', '것', '처럼', '다이얼', '로', '바꾸다', '훨씬', '편리하다', '것', '같다', '그리고', '세이프', '박스', '출금', '하다', '때', '잔액', '말고', '추다', '금액', '으로', '설정', '하다', '수', '있다', '좋다', '보통', '얼', '만큼', '이', '필요하다', '빼다', '걸다', '얼마', '빼다', '잔액', '을', '보고', '하다', '번', '더', '생각', '하다', '하다', '불편하다']"
6,2019,4,25,1,앱 완성도 및 사용성이 너무 떨어짐. 루팅os체크에서 루팅하지 않은 기기도 루팅 os로 체크하는 경우가 꽤 있음. 흔히 못만들었다고 소문난 일반 은행 어플보다도 완성도가 떨어짐. 어플을 제대로 못만들면 임시방편으로 웹이나 pc에서 쓰게 해줘야 하는데 그런 사소한 노력조차 기울이지 않음. 어느 하청에 맡겼는지 모르겠지만 최대한 빨리 업체를 변경하는게 좋아보임.,"['앱', '완성', '도', '및', '사용성', '이', '너무', '떨어지다', '루팅', '체크', '에서', '루팅', '하다', '않다', '기기', '도', '루팅', '로', '체크', '하다', '경우', '가', '꽤', '있다', '흔하다', '못', '만들다', '소문나다', '일반', '은행', '어플', '보다도', '완성', '도', '가', '떨어지다', '어플', '을', '제대로', '못', '만들다', '임시', '방편', '으로', '웹', '이나', '에서', '쓰다', '해주다', '하다', '그렇다', '사소하다', '노력', '조차', '기울이다', '않다', '어느', '하청', '에', '맡기다', '모르다', '최대한', '빨리', '업체', '를', '변경', '하다', '좋다', '보임']"
7,2019,2,10,3,"금번 1.13 업데이트 이후 로그인시 패턴을 두번씩 입력해야하는 오류가 발생합니다. 그전에는 없던 오류인데 수정 필요합니다 참고로 백업해 두었던 이전 버전(1.11)으로 롤백,설치하면 해당 오류 발생하지 않습니다 덧붙여 불규칙적으로 로그인시 패턴을 그릴수 없는, 즉 인식하지 못하는 현상도 발생합니다(아래 리뷰 보면 동일증상 호소하는 유저 있음) 사용환경은 안드로이드6.01 입니다","['금번', '업데이트', '이후', '로그', '인시', '패턴', '을', '두', '번', '씩', '입력', '하다', '오류', '가', '발생', '하다', '그', '전', '에는', '없다', '오류', '인데', '수정', '필요하다', '참고', '로', '백업', '하다', '두다', '이전', '버전', '으로', '롤백', '설치', '하', '면', '해당', '오류', '발생', '하다', '않다', '덧붙이다', '불규칙', '적', '으로', '로그', '인시', '패턴', '을', '그리다', '없다', '즉', '인식', '하다', '못', '하다', '현상', '도', '발생', '하다', '아래', '리뷰', '보다', '동일', '증상', '호소', '하다', '유저', '있다', '사용', '환경', '은', '안드로이드', '이다']"
8,2020,1,8,1,"이체하려고 했는데, 업데이트 하라고 해서 하려니 계속 업데이트가 안된다고 하더라구요. 설정-어플리케이션 들어가서 캐시 삭제도 해보고, 핸드폰 전원을 종료했다가 다시 켜서도 해봤는데 안됩니다. 그래서 앱을 삭제하고 다시 설치해보려는데 다시 설치도 안돼서 카카오뱅크 앱 사용 자체가 불가능합니다.. 잔액이 얼마 남았는지 알 수가 없어서 이용하는데 큰 어려움을 겪고 있습니다. 캐시 삭제 말고 다른 해결방법을 제시해주시길 부탁드립니다.","['이체', '하다', '하다', '업데이트', '하라', '고', '하다', '하다', '계속', '업데이트', '가', '안되다', '하다', '설정', '어플리케이션', '들어가다', '캐시', '삭제', '도', '해보다', '핸드폰', '전원', '을', '종료', '하다', '다시', '켜다', '해봤다', '안되다', '그래서', '앱', '을', '삭제', '하고', '다시', '설치', '해보다', '다시', '설치', '도', '안', '돼다', '카카오', '뱅크', '앱', '사용', '자체', '가', '불가능하다', '잔액', '이', '얼마', '남다', '알', '수가', '없다', '이용', '하다', '크다', '어려움', '을', '겪다', '있다', '캐시', '삭제', '말고', '다른', '해결', '방법', '을', '제시', '해주다', '부탁드리다']"
9,2020,4,27,1,여권으로는 본인인증이 안된다는게 이해되지 않네요 지인이 카뱅 가입을 위해 신분증을 촬영했으나 흐린 사진으로 인하여 처리가 안된다하여 다른 금융기관처럼 여권으로 대체를 요청했으나 거절당하고 예금도 모두 인출처리하라고 계좌 정지시킨다는 연락을 받았습니다. 코로나 때문에 외출이 힘든 요즘 사진도 다시 찍고 신분증 재발급을 받은 이후에 재가입하라는 콜센터 안내에 기가 막히네요. 빠른 보완과 대책을 요구합니다,"['여권', '으로는', '본인', '인증', '이', '안되다', '이해', '되다', '않다', '지인', '이', '카뱅', '가입', '을', '위해', '신분증', '을', '촬영', '하다', '흐리다', '사진', '으로', '인하다', '처리', '가', '안되다', '다른', '금융기관', '처럼', '여권', '으로', '대체', '를', '요청', '하다', '거절', '당', '하고', '예금', '도', '모두', '인', '출처', '리하', '라고', '계좌', '정지', '시키다', '연락', '을', '받다', '코로나', '때문', '에', '외출', '이', '힘드다', '요즘', '사진', '도', '다시', '찍다', '신분증', '재발', '급', '을', '받다', '이후', '에', '재', '가입', '하', '라는', '콜센터', '안내', '에', '기', '가', '막히다', '빠르다', '보완', '과', '대책', '을', '요구', '하다']"
