rating,content
3,입출금통장 만들 때 인증방법을 바꾸려 했는데 이전으로 가는 버튼이 없네요. 처음부터 다시 만들려 했더니 이미 계좌개설이 진행 중이라서 다시 들어가도 셀카인증으로 돼요. 다시 만들려서 30일 기다려야 하네요. 이것 빼고는 다 좋아요. 선택수정하게끔 해주셨으면 합니다.
3,"자꾸 핸드폰 인증하라고 반복되는데 그때마다 매번 인증해야해서 번거롭기도하고 너무 짜증납니다. 앱을 새로 깔라는 안내를 받고 새로 깔아도 마찬가지이고, 왜 갑자기 이런 현상이 계속되는지 기술팀에서 조속히 해결해주시기 바랍니다. 핸드폰은 몇년 계속 사용하고 있는데 기기변경하라는게 납득이 안되네요."
5,"전체적으로 편리하고 좋네요. 이용할 줄만 안다면 대체로 스스로 웬만한 건 처리할 수 있도록 해놓고, 무엇보다 스마트출금을 한정적이지만 편의점 자동화기기에서 수수료 면제로 이용할 수 있다는 점도 정말 좋구요. 다만 발급 관련해서 정말 급한 건을 기다려야 한다는 것이 치명적이라면 치명적으로 느껴질 때가 있군요"
5,"편리하게 잘 사용하고 있어요! 만족스럽습니다 그래도 개선했으면 좋을것같은 것들을 적어봅니다. 우선, 첫화면에서 통장의 순서를 직접 정할수 있었으면 좋겠어요. 모임통장 같은건 밑으로 내리고 제가 모으고 있는 통장이나 적금들을 위에서 보고싶거든요. 그리고 자산 액수 숨기는 기능도 있었으면 좋겠어요. 되도록이면 첫 화면에서 간단하게 버튼 하나로 숨겨지고 보여지고 했으면 좋겠네요. 감사합니다."
5,"사용도 편리하고, 캐시백도 유용해요. 특히 타은행보다 예,적금이자가 높아서 진짜 좋아요! 기준금리 오르자마자 바로 딱! 적용된 은행은 카뱅이었어요. 오프라인은행이 없어 처음엔 의심도 되고 우려도 있었는데, 이젠 주변에 안쓰고 계신분들에게 추천해서 많이 개설하셨어요. 수수료 없는 것도 엄청 큰 매리트여서 무료수수료는 계속 이어졌으면 좋겠네요 앞으로도 좋은 혜택 계속 이어지면 좋겠어요."
2,이번에 본인인증 주기적으로 하래서 했는데 신분증 촬영시 카메라 셔터음 소리가 소음수준으로 큽니다. 기존에 아무것도 손대지 않아도 셔터음이 이렇게 큰적이 없는데 카카오에서는 임의로 소리를 키우는 셋팅을 한 건지? 휴대폰에 반동이 느껴질정도로 셔터음 소음 수준이 어마어마함. 바로 시정하길 바랍니다 너무 당황스럽고 불쾌하네요.
1,언제까지 외국인들 못쓰게 하실건가요? 통신사가입도 되있고 등록증 다 있는데 몇년이 지나도 안되네요. 그럼 애초부터 확실히 공지를 띄우던지 가입 과정 초기에 확인을 하던지 맨끝에 영문이름으로 오류나고 안되네요. 본인계좌는 못파도 최소 모임통장을 볼수있는 권한은 주셨으면 하는데 주가 하락하는 이유가 있나봅니다. 외국인으로썬 응원을할래도 할수가없네요.
4,"세이프박스 금액 조절하는거 다이얼로 바꿔주시면 더 편할 것 같아요. 스크롤로 미세조정하기 조금 불편해서요. 시간 맞추는 것처럼 다이얼로 바꾸면 훨씬 편리할 것 같아요. 그리고 세이프박스 출금할 때 잔액말고 출금액으로 설정할 수 있으면 좋겠어요. 보통 얼만큼이 필요해서 빼는걸텐데, 얼마 뺄지 잔액을 보고 한 번 더 생각해야해서 불편해요."
1,앱 완성도 및 사용성이 너무 떨어짐. 루팅os체크에서 루팅하지 않은 기기도 루팅 os로 체크하는 경우가 꽤 있음. 흔히 못만들었다고 소문난 일반 은행 어플보다도 완성도가 떨어짐. 어플을 제대로 못만들면 임시방편으로 웹이나 pc에서 쓰게 해줘야 하는데 그런 사소한 노력조차 기울이지 않음. 어느 하청에 맡겼는지 모르겠지만 최대한 빨리 업체를 변경하는게 좋아보임.
3,"금번 1.13 업데이트 이후 로그인시 패턴을 두번씩 입력해야하는 오류가 발생합니다. 그전에는 없던 오류인데 수정 필요합니다 참고로 백업해 두었던 이전 버전(1.11)으로 롤백,설치하면 해당 오류 발생하지 않습니다 덧붙여 불규칙적으로 로그인시 패턴을 그릴수 없는, 즉 인식하지 못하는 현상도 발생합니다(아래 리뷰 보면 동일증상 호소하는 유저 있음) 사용환경은 안드로이드6.01 입니다"
