,content,label
4229,정말편하고 간편해요.,1
1666,"원래 여기 계좌가 있는데 다시 사용하려고 깔았는데, 민증이 안된다고 운전면허증을 찍으라는데.... 카카오뱅크의 제 계좌 보려면 면허증을 따야 접근할 수 있는 건가여...ㅠ",0
17058,굿굿굿,1
9566,굿,1
2779,사채는허락안하는점이마음에듦,1
9862,카뱅..최고!,1
11958,교통카드 건의사항 체크카드 교통카드에 청소년 요금제 신청이 없어서 불편합니다. 청소년 요금제 신청 고려 부탁드립니다.,1
4087,간편하지만 안전해서 좋아요,1
16863,굳~~~드,1
1510,신용대출 이율 넘 쎄다.... 대신 중도상환 수수료없는게 좋다,1
17541,안되,0
5235,다른걸 떠나서 다운로드 조차 안됨,0
13299,편하고 짱이구먼,1
10129,간편,1
9885,완전굿,1
8438,굿,1
1429,계좌연동 튜토리얼도 없구 불편하네요 카뱅 편하다 했는데 좋은지 잘모르겟네요,0
5902,사용전 사용해 볼게요,1
1138,진짜 다 좋은데 만 13세로 바꾸면 좋을 것 같네요 사용 가능한 어플이 은근 적어서 아쉽네요..,1
912,진짜 카카오뱅크 잘만든앱이예요 20대부터60대까지 쓰는 좋은앱 수수료도 면제대고 한도도 마음대로 설정할수있고 아무튼 진짜 굿굿,1
12482,주민번호맞는데 왜자꾸 아니라는거야 장난치나 진짜 내주민번호 이거아니였나? 하고 다시보고 다시봐도 같은 주민번호인데 뭔...,0
6849,좋아요~ 좋아요~~,1
9108,좋아요,1
2140,저축안하다가 금액 모두확인되니 저축욕심이난다요,1
12837,툭하면오류떠서다시깔라하고 벌써몇번째야 아 짜증나서진짜 이따구로할거면왜만들었나,0
12172,좋아용,1
17506,편하네요,1
3849,안드12 업뎃이후 실행이 안됩니다 확인 부탁드려요,1
9617,좋아요,1
17011,활용도가 좋습니다,1
538,"내 자산을 불리는 정보가 많고, 무엇보다 입출금 관리가 용이하고, 물론 광고도 많지만 싫지만은 않고, 이용하길 잘하는것 같아요.",1
14500,사용자몰렸다고 대출한도 조회가 며칠째 계속 안되네요. 상담원 연결도 며칠째 카톡답장이 없네요. 이거 뭐... 은행이 장난이냐? 앱 지운다. 장사 이딴식으로 하지맙시다,0
4107,지인의 소개로 알게되었는데 오늘부터 카뱅으로 이적하려구요.. 서민을위한 기업이미지가 매우 감동케합니다,1
3378,편리하고만족합니다,1
3566,신분증인증 오류. 전화상담 어렵게했는데 해결책을 얘기해줘야지 무조건 내일다시해봐라..다시깔아봐라 ㅡㅡ 정말 정떨어진다 정부24에서 해제하고 하니되네 이러면되는걸 상담진짜 ㅉㅉ,0
10719,굿,1
8603,굿,1
13892,어느 새 메인 은행ㅋ,1
13964,다 좋은데 Q6같은 18:9화면 비율을 가진 폰에서 신분증 찍기가 제대로 지원이 안되서 편법으로 등록을해도 사진상의 문제 때문에 제한이 생기네요. 이 점 수정해주셔야 할거같습니다,1
15090,카뱅 편하고 좋아요,1
15822,사진 100번 찍는중,0
7548,사용하기 좋아요,1
10983,오방임,0
5333,너무간편하고 좋음,1
17069,혁신적이네요,1
7694,어플이설치가안되요,0
7037,엄청편함,1
1198,잘쓰다가 지금 앱자체가 안켜져요 문의했는데 답변도 늦고.. 한달째 앱 실행이 안되고 2주째 답변 기다리는중입니다 빨리좀 제발;,0
8521,카뱅최고,1
2223,현재 v50으로 기변했더니 기기변경 인증할려니까 자동 촬영이 안되네요 작동안함 계속 민증 비춰봐도 안되요,0
3698,편리해서 좋아요,1
6971,처신잘하라고 페미 묻었다 미국간 기업들보셨죠?,0
12933,업데이트후 들어가지지가 않아 잔액확인 송금 불가능 기기 가려가며 사람 받냐? 다른 리뷰보니 많은 사람이 같은 장애를 겪고 있는데 며칠 지나도록 해결도 안하고... 은행이 이딴식으로 하나?,0
13888,정말 간편하고 카톡으로 입출금을 알려주니 좋네요,1
8152,멍멍좋아,1
10076,잘쓰고 있습니다,0
13423,좋아요,1
14542,카카오뱅크 흥해라,1
4893,좋아요 청소년이여서 미니 카드 쓰는데 너무 좋아요 계좌도 생기고 ㅎㅎ,1
4630,편하고간단해서좋아요,1
7105,고객 서비스 꽝. 다른 은행이 100배 나음.,0
15426,1점남기는 사람은 다 은행직원인듯 ㅋㅋㅋㅋ 안좋다고 우선 말하기 ㅋㅋㅋㅋㅋ,1
